permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,3,1,7.25,5.8,3.74,1.6764,29.0,0.035,26.1,2.82,-12.101,2.5166,2.5166,-2.9042
4.3,3,1,7.25,5.8,3.3,1.6764,29.0,0.035,26.1,2.584,-12.938,2.0594,2.0594,-3.0524
5.0,3,1,7.25,5.8,2.915,1.6764,29.0,0.035,26.1,2.396,-14.093,1.7367,1.7367,-3.1506
3.6,3,1,3.625,5.8,3.74,1.6764,29.0,0.035,26.1,2.72,-7.6004,1.5947,1.5947,-3.7907
4.3,3,1,3.625,5.8,3.3,1.6764,29.0,0.035,26.1,2.498,-8.1999,1.2932,1.2932,-3.7923
5.0,3,1,3.625,5.8,2.915,1.6764,29.0,0.035,26.1,2.32,-8.9101,1.0468,1.0468,-3.8141
3.6,3,1,7.25,1.9333,3.74,1.6764,29.0,0.035,26.1,2.684,-9.7252,1.9637,1.9637,-3.3295
4.3,3,1,7.25,1.9333,3.3,1.6764,29.0,0.035,26.1,2.46,-10.303,1.5619,1.5619,-3.4415
5.0,3,1,7.25,1.9333,2.915,1.6764,29.0,0.035,26.1,2.282,-11.095999999999998,1.2523,1.2523,-3.5371
3.6,3,1,3.625,1.9333,3.74,1.6764,29.0,0.035,26.1,2.632,-7.7754,1.3905,1.3905,-3.899
4.3,3,1,3.625,1.9333,3.3,1.6764,29.0,0.035,26.1,2.418,-8.3801,1.0911,1.0911,-3.9148
5.0,3,1,3.625,1.9333,2.915,1.6764,29.0,0.035,26.1,2.246,-9.0986,0.8441299999999999,0.8441299999999999,-3.9435
3.6,3,1,7.25,5.8,3.06,1.3716,29.0,0.035,29.0,2.78,-23.458,2.4914,2.4914,-3.2525
4.3,3,1,7.25,5.8,2.7,1.3716,29.0,0.035,29.0,2.55,-26.09,1.9824,1.9824,-3.4371
5.0,3,1,7.25,5.8,2.385,1.3716,29.0,0.035,29.0,2.366,-32.304,1.4572,1.4572,-3.7122
3.6,3,1,3.625,5.8,3.06,1.3716,29.0,0.035,29.0,2.71,-10.407,1.9051,1.9051,-3.8426
4.3,3,1,3.625,5.8,2.7,1.3716,29.0,0.035,29.0,2.488,-11.244000000000002,1.4648,1.4648,-3.9469
5.0,3,1,3.625,5.8,2.385,1.3716,29.0,0.035,29.0,2.31,-12.345,1.0898,1.0898,-4.0621
3.6,3,1,7.25,1.9333,3.06,1.3716,29.0,0.035,29.0,2.672,-13.616,2.1165,2.1165,-3.5405
4.3,3,1,7.25,1.9333,2.7,1.3716,29.0,0.035,29.0,2.45,-14.386,1.6265,1.6265,-3.6971
5.0,3,1,7.25,1.9333,2.385,1.3716,29.0,0.035,29.0,2.274,-15.688,1.1978,1.1978,-3.8852
3.6,3,1,3.625,1.9333,3.06,1.3716,29.0,0.035,29.0,2.634,-10.259,1.6664,1.6664,-4.001
4.3,3,1,3.625,1.9333,2.7,1.3716,29.0,0.035,29.0,2.418,-11.05,1.2316,1.2316,-4.0992
5.0,3,1,3.625,1.9333,2.385,1.3716,29.0,0.035,29.0,2.244,-12.122,0.8386399999999999,0.8386399999999999,-4.2446
3.6,3,1,7.25,5.8,3.4,1.524,29.0,0.035,29.0,2.776,-20.126,2.8007,2.8007,-2.9313
4.3,3,1,7.25,5.8,3.0,1.524,29.0,0.035,29.0,2.546,-21.763,2.2615,2.2615,-3.1501
5.0,3,1,7.25,5.8,2.65,1.524,29.0,0.035,29.0,2.364,-24.538,1.7982,1.7982,-3.363
3.6,3,1,3.625,5.8,3.4,1.524,29.0,0.035,29.0,2.7060000000000004,-9.6376,2.0989,2.0989,-3.6403
4.3,3,1,3.625,5.8,3.0,1.524,29.0,0.035,29.0,2.484,-10.359000000000002,1.6811,1.6811,-3.7268
5.0,3,1,3.625,5.8,2.65,1.524,29.0,0.035,29.0,2.306,-11.241,1.3330000000000002,1.3330000000000002,-3.8139
3.6,3,1,7.25,1.9333,3.4,1.524,29.0,0.035,29.0,2.668,-12.408,2.2941,2.2941,-3.354
4.3,3,1,7.25,1.9333,3.0,1.524,29.0,0.035,29.0,2.446,-13.025,1.8104,1.8104,-3.5073
5.0,3,1,7.25,1.9333,2.65,1.524,29.0,0.035,29.0,2.27,-13.974,1.3932,1.3932,-3.6834
3.6,3,1,3.625,1.9333,3.4,1.524,29.0,0.035,29.0,2.6260000000000003,-9.527,1.8278,1.8278,-3.8293
4.3,3,1,3.625,1.9333,3.0,1.524,29.0,0.035,29.0,2.41,-10.22,1.389,1.389,-3.9366
5.0,3,1,3.625,1.9333,2.65,1.524,29.0,0.035,29.0,2.238,-11.087,1.0114,1.0114,-4.0665
3.6,3,1,7.25,5.8,3.74,1.6764,29.0,0.035,29.0,2.774,-17.68,3.0127,3.0127,-2.7092
4.3,3,1,7.25,5.8,3.3,1.6764,29.0,0.035,29.0,2.544,-18.864,2.4884,2.4884,-2.9161
5.0,3,1,7.25,5.8,2.915,1.6764,29.0,0.035,29.0,2.36,-20.792,2.0606,2.0606,-3.0926
3.6,3,1,3.625,5.8,3.74,1.6764,29.0,0.035,29.0,2.7,-9.0337,2.2392,2.2392,-3.4904
4.3,3,1,3.625,5.8,3.3,1.6764,29.0,0.035,29.0,2.478,-9.6893,1.8459,1.8459,-3.5571
5.0,3,1,3.625,5.8,2.915,1.6764,29.0,0.035,29.0,2.302,-10.475,1.53,1.53,-3.6111
3.6,3,1,7.25,1.9333,3.74,1.6764,29.0,0.035,29.0,2.6660000000000004,-11.69,2.4911,2.4911,-3.1502
4.3,3,1,7.25,1.9333,3.3,1.6764,29.0,0.035,29.0,2.444,-12.255,2.0256,2.0256,-3.2878
5.0,3,1,7.25,1.9333,2.915,1.6764,29.0,0.035,29.0,2.266,-13.097,1.6175,1.6175,-3.4530000000000003
3.6,3,1,3.625,1.9333,3.74,1.6764,29.0,0.035,29.0,2.622,-8.8958,1.9728,1.9728,-3.6786
4.3,3,1,3.625,1.9333,3.3,1.6764,29.0,0.035,29.0,2.408,-9.5222,1.5802,1.5802,-3.7434
5.0,3,1,3.625,1.9333,2.915,1.6764,29.0,0.035,29.0,2.236,-10.278,1.2307,1.2307,-3.8432
3.6,3,1,7.25,5.8,3.06,1.3716,29.0,0.035,31.9,2.744,-25.36,2.7446,2.7446,-3.2691
4.3,3,1,7.25,5.8,2.7,1.3716,29.0,0.035,31.9,2.518,-24.536,2.138,2.138,-3.5649
5.0,3,1,7.25,5.8,2.385,1.3716,29.0,0.035,31.9,2.338,-21.945,1.596,1.596,-3.8462
3.6,3,1,3.625,5.8,3.06,1.3716,29.0,0.035,31.9,2.694,-12.638,2.4603,2.4603,-3.5836
4.3,3,1,3.625,5.8,2.7,1.3716,29.0,0.035,31.9,2.47,-13.493,1.9379,1.9379,-3.7691
5.0,3,1,3.625,5.8,2.385,1.3716,29.0,0.035,31.9,2.296,-14.94,1.5198,1.5198,-3.9083
3.6,3,1,7.25,1.9333,3.06,1.3716,29.0,0.035,31.9,2.658,-17.092,2.5378,2.5378,-3.4098
4.3,3,1,7.25,1.9333,2.7,1.3716,29.0,0.035,31.9,2.436,-17.58,1.9336,1.9336,-3.6976
5.0,3,1,7.25,1.9333,2.385,1.3716,29.0,0.035,31.9,2.262,-19.202,1.4329,1.4329,-3.9256
3.6,3,1,3.625,1.9333,3.06,1.3716,29.0,0.035,31.9,2.6260000000000003,-11.861,2.1967,2.1967,-3.7713
4.3,3,1,3.625,1.9333,2.7,1.3716,29.0,0.035,31.9,2.408,-12.671,1.6497,1.6497,-3.9896
5.0,3,1,3.625,1.9333,2.385,1.3716,29.0,0.035,31.9,2.238,-13.892,1.1969,1.1969,-4.162
3.6,3,1,7.25,5.8,3.4,1.524,29.0,0.035,31.9,2.74,-34.954,3.0404,3.0404,-2.9606
4.3,3,1,7.25,5.8,3.0,1.524,29.0,0.035,31.9,2.514,-32.902,2.4623,2.4623,-3.2306
5.0,3,1,7.25,5.8,2.65,1.524,29.0,0.035,31.9,2.334,-27.462,1.9731,1.9731,-3.4606
3.6,3,1,3.625,5.8,3.4,1.524,29.0,0.035,31.9,2.688,-11.599,2.6361,2.6361,-3.4002
4.3,3,1,3.625,5.8,3.0,1.524,29.0,0.035,31.9,2.466,-12.298,2.1427,2.1427,-3.5581
5.0,3,1,3.625,5.8,2.65,1.524,29.0,0.035,31.9,2.29,-13.489,1.7313,1.7313,-3.6912
3.6,3,1,7.25,1.9333,3.4,1.524,29.0,0.035,31.9,2.654,-15.698,2.8184,2.8184,-3.1211
4.3,3,1,7.25,1.9333,3.0,1.524,29.0,0.035,31.9,2.432,-16.067999999999998,2.2366,2.2366,-3.3886
5.0,3,1,7.25,1.9333,2.65,1.524,29.0,0.035,31.9,2.258,-17.332,1.7637,1.7637,-3.5888
3.6,3,1,3.625,1.9333,3.4,1.524,29.0,0.035,31.9,2.62,-10.915,2.3825,2.3825,-3.5805
4.3,3,1,3.625,1.9333,3.0,1.524,29.0,0.035,31.9,2.404,-11.566,1.8987,1.8987,-3.7376
