speed of light,permittivity,patch_length,patch_width,substrate_height,feed_depth,feed_gap_width,resonance,s11,realized_gain,l3vertical,l3horizontal
299792458000.0,4.3,0.85,0.8,0.05,0.047222,0.028333,83000000000.0,-17.177,1.0586,1.0586,-4.2157
299792458000.0,4.3,0.85,0.8,0.07,0.28333,0.255,92450000000.0,-34.994,3.0863,3.0863,-2.1638
299792458000.0,4.3,0.85,0.8,0.07,0.14167000000000002,0.255,88450000000.0,-10.724,2.3215,2.3215,-3.0408
299792458000.0,4.3,0.85,0.8,0.07,0.047222,0.255,84400000000.0,-11.315,2.0737,2.0737,-3.2096
299792458000.0,4.3,0.85,0.8,0.07,0.28333,0.085,85100000000.0,-16.834,2.5541,2.5541,-2.616
299792458000.0,4.3,0.85,0.8,0.07,0.14167000000000002,0.085,83500000000.0,-12.339,2.0154,2.0154,-3.2108
299792458000.0,4.3,0.85,0.8,0.07,0.047222,0.085,82500000000.0,-12.234000000000002,1.8634,1.8634,-3.3683
299792458000.0,4.3,0.85,0.8,0.07,0.28333,0.028333,83700000000.0,-13.159,2.2905,2.2905,-2.9153
299792458000.0,4.3,0.85,0.8,0.07,0.14167000000000002,0.028333,82850000000.0,-11.773,2.0477,2.0477,-3.1782
299792458000.0,4.3,0.85,0.8,0.07,0.047222,0.028333,82500000000.0,-11.553,1.9723,1.9723,-3.2628
299792458000.0,4.3,0.85,0.8,0.09,0.28333,0.255,92950000000.0,-20.408,3.7405,3.7405,-1.5104
299792458000.0,4.3,0.85,0.8,0.09,0.14167000000000002,0.255,87750000000.0,-8.3088,2.5067,2.5067,-2.7954
299792458000.0,4.3,0.85,0.8,0.09,0.047222,0.255,83700000000.0,-8.6189,2.3128,2.3128,-2.9213
299792458000.0,4.3,0.85,0.8,0.09,0.28333,0.085,85050000000.0,-13.231,3.1010000000000004,3.1010000000000004,-2.0372
299792458000.0,4.3,0.85,0.8,0.09,0.14167000000000002,0.085,83000000000.0,-9.3325,2.4159,2.4159,-2.7762
299792458000.0,4.3,0.85,0.8,0.09,0.047222,0.085,81850000000.0,-9.077,2.2389,2.2389,-2.955
299792458000.0,4.3,0.85,0.8,0.09,0.28333,0.028333,83450000000.0,-10.321,2.6731,2.6731,-2.4938
299792458000.0,4.3,0.85,0.8,0.09,0.14167000000000002,0.028333,82350000000.0,-9.0794,2.3441,2.3441,-2.8445
299792458000.0,4.3,0.85,0.8,0.09,0.047222,0.028333,81850000000.0,-8.8439,2.2645,2.2645,-2.9298
299792458000.0,4.3,0.85,0.9,0.05,0.28333,0.255,89700000000.0,-9.6677,0.8260799999999999,0.8260799999999999,-4.6709
299792458000.0,4.3,0.85,0.9,0.05,0.14167000000000002,0.255,88300000000.0,-19.348,2.1566,2.1566,-3.5962
299792458000.0,4.3,0.85,0.9,0.05,0.047222,0.255,84700000000.0,-19.219,1.771,1.771,-3.942
299792458000.0,4.3,0.85,0.9,0.05,0.28333,0.085,84850000000.0,-42.025,1.7664,1.7664,-3.8049
299792458000.0,4.3,0.85,0.9,0.05,0.14167000000000002,0.085,83850000000.0,-21.696,1.5817,1.5817,-4.0705
299792458000.0,4.3,0.85,0.9,0.05,0.047222,0.085,83000000000.0,-21.57,1.4744,1.4744,-4.1936
299792458000.0,4.3,0.85,0.9,0.05,0.28333,0.028333,83500000000.0,-21.273000000000003,1.5508,1.5508,-4.074
299792458000.0,4.3,0.85,0.9,0.05,0.14167000000000002,0.028333,82900000000.0,-20.094,1.4551,1.4551,-4.1984
299792458000.0,4.3,0.85,0.9,0.05,0.047222,0.028333,82650000000.0,-20.388,1.3971,1.3971,-4.2685
299792458000.0,4.3,0.85,0.9,0.07,0.28333,0.255,89200000000.0,-12.809,2.7704,2.7704,-2.7304
299792458000.0,4.3,0.85,0.9,0.07,0.14167000000000002,0.255,87250000000.0,-13.912,2.9330000000000003,2.9330000000000003,-2.7753
299792458000.0,4.3,0.85,0.9,0.07,0.047222,0.255,83750000000.0,-13.269,2.5653,2.5653,-3.1042
299792458000.0,4.3,0.85,0.9,0.07,0.28333,0.085,84200000000.0,-23.357,2.8875,2.8875,-2.6523
299792458000.0,4.3,0.85,0.9,0.07,0.14167000000000002,0.085,82950000000.0,-14.538,2.4953,2.4953,-3.1198
299792458000.0,4.3,0.85,0.9,0.07,0.047222,0.085,82050000000.0,-14.031,2.3271,2.3271,-3.3006
299792458000.0,4.3,0.85,0.9,0.07,0.28333,0.028333,83100000000.0,-15.847,2.7578,2.7578,-2.8315
299792458000.0,4.3,0.85,0.9,0.07,0.14167000000000002,0.028333,82400000000.0,-13.604,2.4997,2.4997,-3.1208
